rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total timesteps,train/actor_loss,train/n_updates,train/learning_rate
0.0,15.364226696014404,4639.86,382,18943,1681,-5403.13005384,7248259,162.18785733032226,7087674,0.001
0.0,14.647113659858704,4736.73,380,19089,1682,-5427.76865991,7258259,159.7873006591797,7097674,0.001
0.0,14.613456395626068,4822.84,377,19235,1683,-5492.238423619999,7268259,159.12328128051757,7107674,0.001
0.0,15.02734617614746,4912.47,375,19382,1684,-5538.95380651,7278259,155.97060305786133,7117674,0.001
0.0,,4814.2,375,19387,1685,-5502.75110276,7278432,,,
0.0,14.323359909057617,4826.46,374,19417,1686,-5508.375583289999,7280208,155.51652157592773,7119674,0.001
0.0,,4822.07,374,19421,1687,-5505.89618736,7280382,,,
0.0,14.52440770816803,4833.06,374,19447,1688,-5509.54663985,7281801,155.78021240234375,7121674,0.001
0.0,13.138938858032226,4909.97,372,19594,1689,-5529.8022812300005,7291801,154.11132998657226,7131674,0.001
0.0,14.753415875434875,4909.97,369,19740,1690,-5467.891426769999,7301801,152.84042315673827,7141674,0.001
0.0,13.094947622299195,4990.18,367,19887,1691,-5514.78234113,7311801,151.68923126220704,7151674,0.001
0.0,13.158927958011628,5089.11,365,20041,1692,-5962.57224804,7321801,151.80416693115234,7161674,0.001
0.0,14.110945382118224,5186.16,363,20187,1693,-6004.93533653,7331801,152.53408239746093,7171674,0.001
0.0,15.127969439983367,5283.5,361,20336,1694,-6203.2028644,7341801,153.48862747192382,7181674,0.001
0.0,,5282.53,360,20341,1695,-6202.92857147,7342040,,,
0.0,13.262080095291138,5282.53,358,20487,1696,-6243.03093321,7352040,149.61189108276366,7191674,0.001
0.0,12.829696766853333,5378.92,356,20633,1697,-6277.25380232,7362040,149.2054108581543,7201674,0.001
0.0,,5281.02,356,20638,1698,-5774.755850349999,7362250,,,
0.0,13.843548949718475,5281.02,354,20792,1699,-6199.732269810001,7372250,147.49409185791015,7211674,0.001
0.0,14.126101677894592,5335.24,352,20939,1700,-6216.449649269999,7382250,148.08526251220704,7221674,0.001
0.0,14.10473249721527,5297.3,351,21031,1701,-5228.7609926,7388456,149.0136996459961,7227674,0.001
0.0,13.783591863632202,5301.73,351,21046,1702,-5231.65904625,7389207,148.99648181152344,7228674,0.001
0.0,14.152055438518524,5325.03,349,21192,1703,-5192.32130639,7399207,148.80928256225587,7238674,0.001
0.0,14.112631180763245,5325.03,346,21357,1704,-5983.398580700001,7409207,152.73542715454101,7248674,0.001
0.0,14.893462754249573,5404.73,344,21513,1705,-6746.21970295,7419207,155.92950048828126,7258674,0.001
0.0,14.747609838485717,5502.28,342,21659,1706,-6782.94392388,7429207,157.80144763183594,7268674,0.001
0.0,15.039688827514649,5599.81,341,21809,1707,-6892.84712017,7439207,159.08662591552735,7278674,0.001
0.0,15.116196746826171,5648.86,339,21925,1708,-6918.702375620001,7446756,159.61799884033204,7286674,0.001
0.0,14.970612504959107,5678.75,339,21975,1709,-6934.52767685,7449936,159.92524761962892,7289674,0.001
0.0,14.630376627922058,5773.75,337,22124,1710,-6958.61151142,7459936,160.24174645996095,7299674,0.001
0.0,15.00993227481842,5804.11,335,22269,1711,-6811.13218003,7469936,157.80200573730468,7309674,0.001
0.0,14.161410511016845,5899.24,333,22416,1712,-6848.766468929999,7479936,155.86767965698243,7319674,0.001
0.0,14.696780602931977,5930.56,332,22474,1713,-6851.599038529999,7483738,156.80350616455078,7323674,0.001
0.0,16.069760257720947,5930.56,331,22620,1714,-6844.956642789999,7493738,156.57989215087892,7333674,0.001
0.0,15.503389324188232,6024.16,329,22766,1715,-6867.03414025,7503738,157.08439114379883,7343674,0.001
