train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
4751674,13773,1259,-13868.96553652,88.7340241470337,356,0.0,334.50648059082033,6787.44,0.001,4911778
4753674,13808,1260,-13134.63525379,94.81476958847045,355,0.0,331.96557092285155,6711.12,0.001,4914146
4763674,13955,1261,-13222.48070561,82.23143608093261,352,0.0,327.625033203125,6804.93,0.001,4924146
4773674,14106,1262,-13523.951488130002,77.62238018798828,349,0.0,324.7644069213867,6881.04,0.001,4934146
4778674,14183,1263,-13579.589356290002,77.64719875717164,348,0.0,322.73531176757814,6929.02,0.001,4939330
4788674,14329,1264,-13613.924321730003,78.77852132034302,345,0.0,318.72434045410154,6994.5,0.001,4949330
4798674,14476,1265,-13655.83583666,75.84557416152954,342,0.0,315.21356323242185,7068.74,0.001,4959330
4808674,14623,1266,-13455.677176420002,70.56603120040893,339,0.0,312.00560760498047,7068.74,0.001,4969330
4818674,14770,1267,-13526.568577350003,71.64322216033935,337,0.0,307.19409240722655,7159.09,0.001,4979330
4828674,14920,1268,-13811.32226498,67.46579501342774,334,0.0,303.10498345947263,7243.16,0.001,4989330
4838674,15068,1269,-13693.97565502,64.8505527420044,331,0.0,298.3061079711914,7243.16,0.001,4999330
4848674,15215,1270,-13722.189188679999,66.80227703857422,329,0.0,294.37203985595704,7243.16,0.001,5009330
4858674,15363,1271,-13765.909224719999,64.56041216659546,326,0.0,291.1714662475586,7243.16,0.001,5019330
4868674,15510,1272,-13498.28011396,61.02612088775635,324,0.0,286.351344543457,7243.16,0.001,5029330
,15513,1273,-12575.55569778,,324,0.0,,7144.13,,5029427
4870674,15539,1274,-12485.27844475,62.31764952087402,323,0.0,286.5805435791016,7057.24,0.001,5030738
4880674,15685,1275,-12532.42288672,61.587164546966555,321,0.0,282.4803662109375,7145.39,0.001,5040738
4890674,15845,1276,-13189.098997509998,59.55265383911133,318,0.0,279.4814917602539,7233.48,0.001,5050738
4900674,15992,1277,-13088.030830689997,58.37806868743896,316,0.0,275.3478514404297,7233.48,0.001,5060738
4906674,16090,1278,-13094.602131639998,57.738671993255615,314,0.0,273.03345861816405,7202.14,0.001,5067604
4916674,16242,1279,-12929.680981779997,57.425346382141115,312,0.0,272.4473851928711,7202.14,0.001,5077604
4926674,16390,1280,-13134.085834089998,56.40774650573731,310,0.0,269.4090347290039,7288.95,0.001,5087604
4936674,16538,1281,-13255.588635220001,54.6642958946228,308,0.0,266.7434019165039,7385.47,0.001,5097604
4938674,16570,1282,-13125.67993108,54.7773931388855,307,0.0,266.1831276855469,7306.09,0.001,5099666
4944674,16649,1283,-12461.696135949998,54.14847153091431,306,0.0,264.6096903381348,7256.39,0.001,5104696
4954674,16796,1284,-12514.08966958,52.267638454437254,304,0.0,261.191334777832,7331.92,0.001,5114696
4964674,16943,1285,-12569.1051617,50.94953852844238,302,0.0,258.0091762390137,7418.4,0.001,5124696
4974674,17096,1286,-12994.89871844,49.64931494903564,300,0.0,255.62051489257811,7508.09,0.001,5134696
4984674,17243,1287,-13090.033139219999,50.20269705200195,298,0.0,252.95833712768555,7579.67,0.001,5144696
,17248,1288,-12749.433343219996,,298,0.0,,7481.85,,5144914
4994674,17395,1289,-12767.445067829995,49.101242992401126,296,0.0,251.3204630126953,7559.35,0.001,5154914
5004674,17542,1290,-12854.481719539997,46.83852292251587,294,0.0,250.71210592651366,7645.86,0.001,5164914
5014674,17693,1291,-12839.230098889997,45.7133342590332,292,0.0,250.9790686645508,7689.3,0.001,5174914
