time/episodes,time/total timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success rate,time/time_elapsed,time/fps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
661,2373874,3551.79,-16734.37895829,0.0,8669,273,2209874,0.001,679.7519159393311,531.411398010254
662,2374320,3516.25,-16635.104370549998,0.0,8727,272,2213874,0.001,673.6602665405273,532.1411109924317
663,2377147,3504.52,-16522.49669994,0.0,8762,271,2214320,0.001,664.9779326434627,531.242608450988
664,2381147,3504.52,-16712.38655649,0.0,8843,269,2217147,0.001,692.7626185381754,529.5543616336031
665,2385147,3504.52,-16490.654451690003,0.0,8935,266,2221147,0.001,678.8616225585937,526.7868116302491
666,2389147,3504.52,-16287.40063201,0.0,9028,264,2225147,0.001,681.4094499511718,524.673404510498
667,2391069,3511.28,-16279.33597228,0.0,9100,262,2229147,0.001,679.3389023742676,524.2271222686768
668,2395069,3511.28,-16406.28595067,0.0,9178,260,2231069,0.001,699.6617952122524,523.2584660398104
669,2399069,3511.28,-16295.97430133,0.0,9270,258,2235069,0.001,672.2875841064454,525.0507995300293
670,2403069,3549.27,-16424.78651161,0.0,9362,256,2239069,0.001,682.5349984436035,524.2640174865722
671,2407069,3549.27,-16563.78294632,0.0,9459,254,2243069,0.001,693.1908575439453,526.0848179321289
672,2411069,3549.27,-16621.24498951,0.0,9553,252,2247069,0.001,697.9492192687989,528.333393951416
673,2415069,3549.27,-16547.522025719998,0.0,9645,250,2251069,0.001,684.9755608673096,524.3152864685059
674,2418896,3547.54,-16290.232488130001,0.0,9735,248,2255069,0.001,688.0744776306152,523.5561668548584
675,2422896,3547.54,-16308.724208169999,0.0,9827,246,2258896,0.001,706.4318474619326,523.6836355881009
676,2426896,3551.54,-16183.728353800001,0.0,9920,244,2262896,0.001,701.2448113861084,524.9046149749756
677,2430356,3546.14,-16157.159792179998,0.0,10005,242,2266896,0.001,709.2277600860596,524.4346353759765
678,2434356,3546.14,-16422.72726574,0.0,10097,241,2270356,0.001,694.930711444127,522.951507374317
679,2438356,3546.14,-16331.566822589999,0.0,10189,239,2274356,0.001,678.9234975585938,521.9613459014893
680,2442356,3551.89,-16612.17253558,0.0,10291,237,2278356,0.001,698.2788278656005,519.5082074890137
681,2446356,3551.89,-16499.99760912,0.0,10384,235,2282356,0.001,709.4925192871094,522.5200911865235
682,2450356,3551.89,-16233.181568060001,0.0,10475,233,2286356,0.001,688.0913993530273,520.983991317749
683,2450711,3515.44,-15993.92994664,0.0,10532,232,2290356,0.001,700.6971302032471,517.9479504699707
684,2454711,3523.91,-15803.43441856,0.0,10579,232,2290711,0.001,687.7544235874229,515.5260149422338
685,2458711,3528.28,-15999.30313496,0.0,10672,230,2294711,0.001,707.1458856811523,514.8049245147705
686,2462711,3528.28,-15880.550801940002,0.0,10764,228,2298711,0.001,718.8385524444581,513.7728008117675
687,2466711,3528.28,-15884.271519839998,0.0,10856,227,2302711,0.001,710.9852119140625,510.66941580200194
688,2469444,3515.61,-15640.50183105,0.0,10937,225,2306711,0.001,712.9772461700439,507.85445835876465
689,2473444,3515.61,-15527.28116134,0.0,11012,224,2309444,0.001,719.4324586032905,506.99826949481644
690,2477444,3515.61,-15541.373590750001,0.0,11105,223,2313444,0.001,717.389842086792,507.02408183288577
691,2481444,3515.61,-15732.60580211,0.0,11201,221,2317444,0.001,705.989784500122,505.886637512207
692,2485444,3515.61,-15963.69268998,0.0,11295,220,2321444,0.001,708.8483601226807,504.7544371185303
693,2489444,3515.61,-16059.58342749,0.0,11390,218,2325444,0.001,722.3364386749267,505.34144921875
694,2493444,3515.61,-16151.186910869998,0.0,11483,217,2329444,0.001,720.4980876922607,506.19138681030273
695,2497444,3515.61,-16263.315232539999,0.0,11576,215,2333444,0.001,729.6397477722168,505.03541160583495
696,2501444,3515.61,-16030.587892089998,0.0,11669,214,2337444,0.001,723.2732485961914,503.64897369384767
697,2502896,3490.13,-15909.55370033,0.0,11736,213,2341444,0.001,737.3187607116699,502.87723933410643
698,2506896,3525.26,-16246.505383939999,0.0,11802,212,2342896,0.001,722.385593340745,502.69658675601005
699,2510896,3525.26,-16529.75319938,0.0,11901,210,2346896,0.001,730.5208855285645,504.16446589660643
700,2514896,3525.26,-16559.65808728,0.0,11992,209,2350896,0.001,730.6587660675049,505.5735573883057
701,2518896,3525.26,-16626.65749482,0.0,12087,208,2354896,0.001,749.4225032196044,508.29313465881347
702,2522896,3527.64,-16406.35883873,0.0,12181,207,2358896,0.001,729.763029296875,508.73523298645017
703,2523456,3493.24,-16368.7596329,0.0,12239,206,2362896,0.001,715.9293330993652,508.42827340698244
704,2527456,3493.24,-16316.710722190002,0.0,12293,205,2363456,0.001,751.7037059238979,507.66790466308595
705,2531456,3493.24,-16067.202380730003,0.0,12383,204,2367456,0.001,739.8339184570312,509.0218844909668
706,2531504,3453.72,-15878.788555079998,0.0,12437,203,2371456,0.001,740.80843409729,510.61677281188963
707,2533657,3435.25,-15730.384619449998,0.0,12461,203,2371504,0.001,731.100690205892,508.93932215372723
708,2537657,3471.5,-15887.747579280001,0.0,12531,202,2373657,0.001,738.7182147162933,509.6411919292464
709,2541657,3503.84,-16220.17399311,0.0,12628,201,2377657,0.001,728.2635095977784,510.4617646484375
710,2545657,3503.84,-16388.724823,0.0,12721,200,2381657,0.001,727.6503598175049,508.7087704925537
711,2549657,3518.11,-16460.47184464,0.0,12812,198,2385657,0.001,720.740626083374,507.0723439178467
712,2553657,3518.11,-16520.1017148,0.0,12906,197,2389657,0.001,721.179507522583,505.6117734222412
713,2557657,3518.11,-16490.13912508,0.0,12997,196,2393657,0.001,747.2880986633301,507.9037364196777
714,2561657,3554.38,-16561.2041538,0.0,13088,195,2397657,0.001,733.1476372680664,508.0773305358887
715,2565657,3554.38,-16497.49103292,0.0,13180,194,2401657,0.001,732.5009046173095,507.56943785095217
716,2569657,3554.38,-16670.426037449997,0.0,13276,193,2405657,0.001,710.8942294158935,506.819927154541
717,2570419,3561.49,-16679.12535902,0.0,13336,192,2409657,0.001,714.7594304962158,505.1604638671875
718,2574419,3561.49,-17036.419713929998,0.0,13394,192,2410419,0.001,737.3187673974224,504.2840802050012
719,2578419,3561.49,-16903.692458909998,0.0,13486,191,2414419,0.001,712.7280516662597,504.3241868743896
720,2582419,3600.87,-17135.38923741,0.0,13581,190,2418419,0.001,735.5958561553955,504.4664403839111
721,2586419,3600.87,-17128.15262016,0.0,13674,189,2422419,0.001,734.7778190307617,504.799719619751
722,2587861,3575.29,-17114.4285426,0.0,13741,188,2426419,0.001,736.463768371582,505.1734739227295
723,2591861,3575.29,-17228.58473577,0.0,13803,187,2427861,0.001,734.3087231428382,504.6409655186075
724,2595861,3575.29,-17402.598540810002,0.0,13900,186,2431861,0.001,726.5265085144043,504.19104342651366
725,2599861,3575.29,-17168.629019300002,0.0,13991,185,2435861,0.001,730.8199747467041,508.73324542236327
726,2603861,3605.12,-17295.40779392,0.0,14084,184,2439861,0.001,767.1937447509765,510.3839774017334
727,2607861,3612.93,-17236.039568260003,0.0,14177,183,2443861,0.001,740.8459145202637,511.5199313659668
728,2609346,3587.78,-17196.37937582,0.0,14244,183,2447861,0.001,728.2674349365234,510.98574911499026
729,2613346,3587.78,-16968.576901120003,0.0,14306,182,2449346,0.001,762.8624471028646,511.4215460837609
730,2617346,3587.78,-16958.518485120003,0.0,14396,181,2453346,0.001,745.1092196807862,512.175725189209
731,2621346,3613.94,-16990.48925003,0.0,14487,180,2457346,0.001,750.3904913482666,509.2496114349365
732,2625346,3613.94,-17184.97142384,0.0,14584,180,2461346,0.001,758.0422161865234,509.5738160247803
733,2629346,3613.94,-17050.22892061,0.0,14678,179,2465346,0.001,748.1846375427247,511.6013372039795
734,2633346,3613.94,-17197.919085819998,0.0,14777,178,2469346,0.001,749.6972530822754,511.49674674987796
735,2637346,3613.94,-16938.366552359996,0.0,14868,177,2473346,0.001,758.2561493377685,515.2649557800293
736,2641346,3613.94,-17108.80951334,0.0,14964,176,2477346,0.001,745.637743637085,514.5864446411133
737,2645346,3613.94,-17087.43778302,0.0,15055,175,2481346,0.001,759.1818504180908,513.7325466308594
738,2649346,3613.94,-17205.34754126,0.0,15148,174,2485346,0.001,748.6735313110352,512.8625477905273
739,2653346,3613.94,-17232.170613020004,0.0,15242,174,2489346,0.001,745.5709738769531,510.3433699951172
740,2657346,3613.94,-17135.13469362,0.0,15334,173,2493346,0.001,734.4415955200195,508.3800319519043
741,2661346,3613.94,-17213.09984298,0.0,15429,172,2497346,0.001,767.5270122528076,508.0236628570557
742,2665346,3613.94,-17039.50503532,0.0,15521,171,2501346,0.001,773.2496213989258,510.5891658782959
743,2669346,3613.94,-17130.98418603,0.0,15616,170,2505346,0.001,767.8587151184082,510.3982724914551
744,2673346,3613.94,-17107.94792676,0.0,15708,170,2509346,0.001,803.505495941162,511.5059973449707
745,2677346,3613.94,-17287.055781810002,0.0,15806,169,2513346,0.001,791.4360053100586,509.97360566711427
746,2681346,3613.94,-16989.56660519,0.0,15897,168,2517346,0.001,781.6937651519776,513.2501623535156
747,2685346,3613.94,-17051.74825036,0.0,15993,167,2521346,0.001,798.1456122589111,514.4627355957032
748,2686705,3600.09,-17022.14139166,0.0,16060,167,2525346,0.001,785.6304746551514,516.734221282959
749,2690705,3600.09,-17011.60835219,0.0,16122,166,2526705,0.001,787.9992170972453,518.2838730734824
750,2693908,3609.33,-16963.618380089996,0.0,16206,166,2530705,0.001,786.3282941589356,520.0899927062989
751,2697741,3607.66,-16897.564811430002,0.0,16287,165,2533908,0.001,785.1617879257178,521.3868342100756
752,2701741,3607.66,-16978.19953703,0.0,16378,164,2537741,0.001,796.7708691030454,522.471564274989
753,2704914,3599.39,-17034.92710245,0.0,16465,164,2541741,0.001,792.8043151855469,522.7166709442139
754,2708056,3590.81,-17083.54745127,0.0,16541,163,2544914,0.001,769.595009232409,523.6169499744013
755,2712056,3621.82,-17274.124457939997,0.0,16624,163,2548056,0.001,775.9437537918723,523.6892272055642
756,2716056,3621.82,-17324.95787787,0.0,16715,162,2552056,0.001,776.2381356811524,525.8628900146484
757,2720056,3621.82,-17134.13928388,0.0,16806,161,2556056,0.001,775.2319697875977,526.7489275665283
758,2724056,3621.82,-17084.972025540003,0.0,16898,161,2560056,0.001,816.305999710083,527.0535153045654
759,2728056,3621.82,-16903.44096309,0.0,16989,160,2564056,0.001,791.4074141082764,525.2443916778565
760,2728329,3584.55,-16853.44892074,0.0,17044,160,2568056,0.001,795.6542012939453,520.7705336914063
761,2732329,3584.55,-16794.88110707,0.0,17091,159,2568329,0.001,790.9581151270604,519.4030113220215
762,2735484,3611.64,-16931.82582743,0.0,17176,159,2572329,0.001,789.3560798950195,521.1748464965821
763,2739484,3623.37,-17000.34470194,0.0,17258,158,2575484,0.001,792.1079414766677,521.0920875655684
764,2743484,3623.37,-16898.18971413,0.0,17350,158,2579484,0.001,780.4051399993897,520.8893360443116
765,2747148,3620.01,-16850.8897728,0.0,17437,157,2583484,0.001,770.6521287231445,520.926965499878
766,2748215,3590.68,-16775.26462501,0.0,17498,157,2587148,0.001,796.1575570752007,519.7320986585325
767,2752215,3611.46,-16758.89029009,0.0,17552,156,2588215,0.001,797.1074488746193,519.1165262476364
768,2756215,3611.46,-16489.43353835,0.0,17644,156,2592215,0.001,791.7575273132325,519.7343333282471
769,2760215,3611.46,-16520.5676149,0.0,17736,155,2596215,0.001,817.3287307739258,520.5533488616943
770,2764215,3611.46,-16511.68463915,0.0,17829,155,2600215,0.001,804.3766541595459,521.2856335601807
771,2767174,3601.05,-16195.23372251,0.0,17910,154,2604215,0.001,806.3751049804688,521.4758363037109
772,2771174,3601.05,-16243.709955920001,0.0,17992,154,2607174,0.001,812.1688453130281,520.1388527535104
773,2775174,3601.05,-16294.98411337,0.0,18084,153,2611174,0.001,807.3643021240234,521.6470696258544
774,2779174,3602.78,-16472.04721818,0.0,18178,152,2615174,0.001,824.1940563812256,523.0194346313476
775,2783174,3602.78,-16414.78242439,0.0,18270,152,2619174,0.001,824.2833561401367,521.9009889221192
776,2787174,3602.78,-16440.494475440002,0.0,18366,151,2623174,0.001,808.5154008483887,521.3026141662598
777,2791174,3608.18,-16734.907028650003,0.0,18463,151,2627174,0.001,819.1383117980957,521.7682963104248
778,2795174,3608.18,-16577.58225877,0.0,18557,150,2631174,0.001,801.561959350586,521.5908615570069
779,2799174,3608.18,-16564.51215176,0.0,18648,150,2635174,0.001,824.6139237213134,523.1765051116944
780,2803174,3608.18,-16379.49580879,0.0,18742,149,2639174,0.001,817.7067137298584,523.4694559020996
781,2807174,3608.18,-16447.78172542,0.0,18838,149,2643174,0.001,805.6747926177978,523.8129522705078
782,2811174,3608.18,-16651.84454534,0.0,18933,148,2647174,0.001,826.2705934906006,525.1498657836914
783,2815174,3644.63,-16969.9112204,0.0,19029,147,2651174,0.001,840.3576735076904,527.2860101013183
784,2819174,3644.63,-17216.631574860003,0.0,19126,147,2655174,0.001,832.9101817474365,528.6131452636719
785,2823174,3644.63,-17060.052181460003,0.0,19217,146,2659174,0.001,834.4922242431641,532.9643739318848
786,2827174,3644.63,-17013.53554566,0.0,19308,146,2663174,0.001,833.9406097564697,531.4335693969726
787,2831174,3644.63,-17003.91227887,0.0,19400,145,2667174,0.001,837.0019319152832,532.9181394348144
788,2835174,3657.3,-17022.721420410002,0.0,19493,145,2671174,0.001,871.0027163085938,536.0696379089355
789,2838503,3650.59,-17045.916403540003,0.0,19578,144,2675174,0.001,864.0220020599365,537.1019046325683
790,2842503,3650.59,-17110.191996560003,0.0,19665,144,2678503,0.001,847.3453852984954,536.221588905041
791,2844802,3633.58,-16949.00126299,0.0,19744,144,2682503,0.001,839.0922318115234,537.9235090026856
792,2848802,3633.58,-16930.237555740005,0.0,19818,143,2684802,0.001,855.7054334510249,539.1071763544497
793,2852802,3633.58,-16943.44628949,0.0,19914,143,2688802,0.001,871.4594773101807,542.7003046569824
794,2856802,3633.58,-17078.80292338,0.0,20009,142,2692802,0.001,862.1164780883789,544.8875020446777
795,2860802,3633.58,-17119.1019036,0.0,20103,142,2696802,0.001,841.0982116394043,544.7282371520996
796,2864802,3633.58,-17219.013867190002,0.0,20198,141,2700802,0.001,860.093459777832,545.1566008300781
797,2868802,3659.06,-17476.70107182,0.0,20292,141,2704802,0.001,874.0277171936035,545.4232221679688
798,2872802,3659.06,-17343.97089996,0.0,20385,140,2708802,0.001,875.469177734375,548.4405149841309
799,2876802,3659.06,-17087.11465306,0.0,20477,140,2712802,0.001,873.0085461273194,549.8757225036621
800,2880802,3659.06,-17348.49609074,0.0,20576,140,2716802,0.001,891.1045974731445,552.526097076416
801,2884802,3659.06,-17451.680536750002,0.0,20671,139,2720802,0.001,860.0796538391113,554.2102351989746
802,2888802,3659.06,-17531.891347220004,0.0,20766,139,2724802,0.001,860.4166143188477,556.8902185974121
803,2892802,3693.46,-17618.34558121,0.0,20858,138,2728802,0.001,886.3042716064454,557.9007533569336
804,2896802,3693.46,-17594.13555672,0.0,20954,138,2732802,0.001,913.0277423858643,558.4839089355469
805,2900802,3693.46,-17641.817749250004,0.0,21046,137,2736802,0.001,873.38119480896,559.3352250061035
806,2904802,3732.98,-17786.429935340002,0.0,21138,137,2740802,0.001,890.9673320922851,559.150065826416
807,2908802,3751.45,-17911.399481800003,0.0,21230,137,2744802,0.001,868.7861556091309,559.4146701660156
808,2909652,3719.95,-17772.7525905,0.0,21292,136,2748802,0.001,869.9497133636474,560.2539455566406
809,2913652,3719.95,-17611.66347951,0.0,21346,136,2749652,0.001,853.2049419806985,560.2807564051011
810,2917652,3719.95,-17447.89036369,0.0,21437,136,2753652,0.001,869.9627796020508,561.5812205200195
811,2921652,3719.95,-17630.023022499998,0.0,21533,135,2757652,0.001,838.9737166900635,562.4368505859375
812,2925652,3719.95,-17552.89511185,0.0,21626,135,2761652,0.001,851.9735434570313,561.5827432250976
813,2929652,3719.95,-17546.03411699,0.0,21718,134,2765652,0.001,856.204169631958,560.0028456420898
814,2929773,3681.16,-17473.55443299,0.0,21772,134,2769652,0.001,862.87384815979,558.5941268005371
815,2931106,3654.49,-17421.044022899998,0.0,21790,134,2769773,0.001,844.3490570320571,557.3691670735677
816,2935106,3654.49,-17234.27893015,0.0,21849,134,2771106,0.001,848.8916073775524,557.9116805732875
817,2939106,3686.87,-17469.619839130002,0.0,21943,133,2775106,0.001,864.3257931976318,557.1996021728515
818,2943106,3686.87,-17214.813088890005,0.0,22038,133,2779106,0.001,848.9430151062012,558.6129133300781
