train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
5388.396417480469,0.001,527,4580000,458,0.0,11423674,-6368.182116210937,744085.95670407,8690,10000.0
5624.436357177734,0.001,518,4590000,459,0.0,11433674,-6362.10286328125,739856.5987899401,8844,10000.0
5398.923406738281,0.001,511,4600000,460,0.0,11443674,-6389.900703125,737711.3001879301,8993,10000.0
5306.643244628906,0.001,504,4610000,461,0.0,11453674,-6415.9138046875,737946.4896617001,9141,10000.0
4914.471092773438,0.001,497,4620000,462,0.0,11463674,-6453.52816015625,737994.56591506,9289,10000.0
4880.382649658203,0.001,490,4630000,463,0.0,11473674,-6536.538288085938,744938.6815255102,9437,10000.0
5197.672456054687,0.001,484,4640000,464,0.0,11483674,-6479.852151367188,750144.1009449001,9585,10000.0
5181.876494628907,0.001,477,4650000,465,0.0,11493674,-6509.927827148437,752992.28251386,9733,10000.0
5017.251275146485,0.001,471,4660000,466,0.0,11503674,-6596.462825195313,762758.4375131001,9883,10000.0
5112.278969970703,0.001,465,4670000,467,0.0,11513674,-6667.878708984375,772775.02788333,10030,10000.0
5244.569645507812,0.001,459,4680000,468,0.0,11523674,-6616.137250976562,768955.82811812,10180,10000.0
5532.832418212891,0.001,453,4690000,469,0.0,11533674,-6515.127642578125,759270.1735890103,10351,10000.0
5695.835545166015,0.001,446,4700000,470,0.0,11543674,-6427.417736328125,750433.7269294602,10517,10000.0
5490.882839111328,0.001,441,4710000,471,0.0,11553674,-6461.404244140625,753625.7728055401,10665,10000.0
5569.600521972657,0.001,436,4720000,472,0.0,11563674,-6411.247802734375,753595.4760323402,10813,10000.0
5294.931908203125,0.001,431,4730000,473,0.0,11573674,-6473.7785869140625,761337.78912938,10962,10000.0
5214.398172851563,0.001,426,4740000,474,0.0,11583674,-6582.542370117188,771147.3314664601,11110,10000.0
4843.2439794921875,0.001,421,4750000,475,0.0,11593674,-6605.083275390625,770479.75754417,11272,10000.0
