rollout/ep_len_mean,time/total timesteps,time/episodes,time/fps,rollout/success rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
10000.0,870000,87,62,0.0,-64943.273799850576,13853,7.171377563476563,8590,85.22262573242188,0.001
10000.0,880000,88,62,0.0,-64830.8201955,14013,8.136727094650269,8690,87.4098617553711,0.001
10000.0,890000,89,62,0.0,-64685.06710255056,14168,7.6264900207519535,8790,86.72266387939453,0.001
10000.0,900000,90,62,0.0,-64505.59467612222,14334,8.519704484939576,8890,90.21750946044922,0.001
10000.0,910000,91,62,0.0,-64684.79019428571,14502,9.778093719482422,8990,96.87452392578125,0.001
10000.0,920000,92,62,0.0,-64846.13078380435,14666,14.550065946578979,9090,98.57637634277344,0.001
10000.0,930000,93,62,0.0,-64709.6895893656,14833,7.286048078536988,9190,103.65449676513671,0.001
10000.0,940000,94,62,0.0,-64625.60985937234,14997,6.8499436378479,9290,104.64916534423828,0.001
10000.0,950000,95,62,0.0,-64489.74558094737,15162,6.340344572067261,9390,112.96529388427734,0.001
10000.0,960000,96,62,0.0,-64410.37833216667,15326,10.038619804382325,9490,106.74350128173828,0.001
10000.0,970000,97,62,0.0,-64309.46559572165,15489,7.134240436553955,9590,104.7667449951172,0.001
10000.0,980000,98,62,0.0,-64202.0818472551,15654,8.84896354675293,9690,118.63347778320312,0.001
10000.0,990000,99,62,0.0,-64096.87017816161,15819,6.508097743988037,9790,118.03518829345703,0.001
10000.0,1000000,100,62,0.0,-64003.11408667,15983,8.824593877792358,9890,126.00667572021484,0.001
10000.0,1010000,101,62,0.0,-64474.76608596999,16148,7.784493160247803,9990,122.94446411132813,0.001
10000.0,1020000,102,62,0.0,-64594.913594039994,16313,6.632994985580444,10090,134.13494110107422,0.001
10000.0,1030000,103,62,0.0,-64529.73055099,16477,6.528999090194702,10190,134.59888305664063,0.001
10000.0,1040000,104,62,0.0,-64697.69455686999,16641,9.086045980453491,10290,135.53135528564454,0.001
10000.0,1050000,105,62,0.0,-64761.68103460998,16807,8.07129454612732,10390,140.91327819824218,0.001
10000.0,1060000,106,62,0.0,-64768.09698025999,16973,6.771333456039429,10490,144.34120178222656,0.001
10000.0,1070000,107,62,0.0,-64912.14383351999,17137,6.4758655548095705,10590,149.7853546142578,0.001
10000.0,1080000,108,62,0.0,-64941.09623895,17303,8.516437911987305,10690,152.54706726074218,0.001
10000.0,1090000,109,62,0.0,-64756.33884415,17468,7.234377241134643,10790,155.69827575683593,0.001
10000.0,1100000,110,62,0.0,-64640.240100569994,17633,5.402623558044434,10890,155.57777404785156,0.001
10000.0,1110000,111,62,0.0,-64408.11582232,17798,6.351812767982483,10990,159.49115600585938,0.001
10000.0,1120000,112,62,0.0,-64127.773023279995,17962,8.496909618377686,11090,157.7500732421875,0.001
10000.0,1130000,113,62,0.0,-63903.04947296,18125,5.5993000030517575,11190,165.02496948242188,0.001
10000.0,1140000,114,62,0.0,-63677.727593409996,18290,6.990958213806152,11290,154.59988708496093,0.001
10000.0,1150000,115,62,0.0,-63456.335450419996,18454,4.295980024337768,11390,169.00286560058595,0.001
10000.0,1160000,116,62,0.0,-62976.56265881,18618,8.483966875076295,11490,165.74412536621094,0.001
10000.0,1170000,117,62,0.0,-63017.963228659995,18782,5.78598997592926,11590,167.67013854980468,0.001
10000.0,1180000,118,62,0.0,-62688.810835180004,18948,5.080252623558044,11690,178.3556701660156,0.001
